date,channel,campaign,impressions,clicks,spend,conversions,revenue
24-02-2026,Organic,Brand-9,24549,1392,1698.24,45,4632.75
23-01-2026,Organic,Brand-1,49123,2235,4559.4,40,3373.6
02-03-2026,Email,Spring-4,83777,1215,1518.75,105,12655.65
08-01-2026,Organic,Retargeting-6,9714,445,1388.4,30,3683.4
21-02-2026,Email,Brand-6,45743,2594,5473.34,154,32731.16
01-03-2026,Meta Ads,Brand-4,60750,2163,5147.94,66,6913.5
09-01-2026,Email,Retargeting-5,32908,283,599.96,27,6345.54
06-03-2026,TikTok,Spring-1,11517,396,269.28,8,809.52
02-02-2026,Google Ads,Spring-4,59070,502,773.08,32,3083.2
09-01-2026,Organic,Spring-3,26038,1291,903.7,38,6811.88
07-02-2026,Affiliate,Retargeting-5,83791,1475,3525.25,168,37789.92
02-02-2026,Email,Brand-8,87542,700,2044,78,9850.62
12-03-2026,Email,Always-On-3,89302,2911,6375.09,293,59150.84
24-03-2026,Email,Spring-5,64911,1383,1521.3,150,32475
25-04-2026,LinkedIn,Spring-6,4546,47,59.22,3,455.4
10-03-2026,Google Ads,Retargeting-1,48063,509,1501.55,9,764.46
15-03-2026,TikTok,Always-On-4,73949,3941,1024.66,108,22837.68
17-03-2026,LinkedIn,Launch-8,43345,2345,3540.95,197,46964.8
29-01-2026,Email,Brand-5,33836,487,564.92,26,711.1
06-01-2026,Google Ads,Spring-1,61633,2700,2187,87,12895.14
23-01-2026,Email,Always-On-7,74822,3397,5095.5,113,17873.21
04-04-2026,Organic,Spring-9,2519,81,213.03,4,699.68
29-01-2026,Meta Ads,Always-On-7,51969,1689,506.7,171,3178.89
26-01-2026,LinkedIn,Brand-6,55479,2829,9788.34,170,12229.8
01-01-2026,Email,Spring-5,24594,1311,1546.98,145,26056.5
05-04-2026,Organic,Spring-3,70902,2801,2044.73,261,8380.71
25-04-2026,LinkedIn,Brand-5,10278,229,487.77,16,2524.8
15-01-2026,TikTok,Launch-4,6878,298,83.44,18,2901.78
05-01-2026,Organic,Always-On-4,67061,2052,2441.88,158,20742.24
05-01-2026,Affiliate,Launch-5,8725,209,217.36,15,2184
17-03-2026,Organic,Retargeting-5,10820,392,172.48,44,3175.92
12-02-2026,Google Ads,Always-On-2,50331,2970,9414.9,181,28558.18
18-01-2026,Email,Launch-3,54772,559,1196.26,66,14638.14
11-04-2026,Organic,Retargeting-4,7297,395,233.05,17,2586.89
26-01-2026,TikTok,Spring-8,70182,737,574.86,22,4624.84
28-04-2026,LinkedIn,Always-On-5,20608,989,3075.79,112,16602.88
12-03-2026,TikTok,Always-On-6,36681,1247,3678.65,124,17863.44
06-03-2026,LinkedIn,Brand-6,57391,2766,2600.04,40,4767.6
19-04-2026,Email,Launch-3,63219,2421,6488.28,59,9778.66
30-04-2026,TikTok,Launch-5,21685,445,1068,36,4411.8
11-03-2026,TikTok,Always-On-3,83886,1208,3479.04,99,10743.48
06-04-2026,Email,Retargeting-1,25868,1239,1424.85,24,3415.44
29-03-2026,Google Ads,Launch-7,67992,1883,3747.17,205,39591.65
20-03-2026,Affiliate,Launch-4,16639,246,408.36,9,1391.04
27-03-2026,Google Ads,Launch-2,83539,4352,11228.16,474,21491.16
16-03-2026,Meta Ads,Always-On-3,43492,1840,3882.4,217,36755.46
20-04-2026,Organic,Always-On-4,84186,3654,9463.86,214,33919
28-01-2026,TikTok,Brand-8,2108,126,396.9,13,2799.29
31-01-2026,Email,Spring-3,3276,154,434.28,7,1078.7
01-05-2026,Organic,Spring-6,79947,4413,3706.92,140,15152.2
11-03-2026,Meta Ads,Always-On-4,83253,2348,4390.76,267,27503.67
17-03-2026,Email,Brand-6,45448,1100,1320,80,3028.8
23-01-2026,Google Ads,Launch-5,49990,1620,4600.8,105,15376.2
10-02-2026,Meta Ads,Retargeting-7,4346,155,416.95,9,1338.93
22-02-2026,Meta Ads,Retargeting-4,38084,404,1151.4,43,3359.16
22-04-2026,TikTok,Launch-2,63139,1427,3881.44,45,7948.8
14-03-2026,LinkedIn,Retargeting-4,3735,102,209.1,9,1359.63
20-04-2026,LinkedIn,Retargeting-2,40541,766,383,66,7520.04
02-03-2026,LinkedIn,Always-On-2,11472,611,1197.56,33,6195.42
26-03-2026,LinkedIn,Always-On-1,19185,934,2867.38,95,15762.4
19-04-2026,LinkedIn,Launch-1,10935,247,820.04,8,213.36
19-01-2026,Meta Ads,Spring-1,75266,4275,7566.75,150,11865
18-02-2026,TikTok,Spring-5,24460,487,1027.57,35,8375.5
29-04-2026,Organic,Launch-9,58290,2081,2580.44,108,18032.76
26-03-2026,Affiliate,Always-On-9,46812,1049,2118.98,51,4448.22
10-04-2026,Google Ads,Launch-2,68921,1716,1904.76,85,8907.15
04-03-2026,LinkedIn,Retargeting-8,50293,1635,948.3,103,7526.21
27-04-2026,TikTok,Always-On-4,52090,2651,2597.98,106,15241.74
16-01-2026,Organic,Spring-2,7192,183,296.46,14,452.62
13-02-2026,Email,Retargeting-3,77033,3143,10623.34,139,15783.45
27-01-2026,Meta Ads,Always-On-8,29585,959,1994.72,50,10762
05-03-2026,Email,Spring-3,32927,1923,1942.23,139,16898.23
