campaign,spend,conversions,revenue,CPA,ROAS,ROI
Launch-2,54391.47,2162,283742.2,25.157941720629047,5.2166672458015935,421.6667245801593
Always-On-4,35404.130000000005,1148,154073.84,30.839834494773523,4.351860644506727,335.1860644506728
Brand-6,41494.44,1358,148923.38999999998,30.55555228276878,3.5889962607038433,258.89962607038433
Retargeting-5,38294.880000000005,1051,145140.41999999998,36.43661274976213,3.790073764430127,279.0073764430127
Always-On-3,17310.74,833,136678.84,20.78120048019208,7.895609315372999,689.5609315372998
Spring-1,18053.94,814,131148.47,22.179287469287466,7.264257552645018,626.4257552645018
Spring-3,30423.58,1220,124873.20999999999,24.937360655737706,4.104487703288041,310.44877032880413
Always-On-8,17919.49,868,107678.68000000001,20.644573732718897,6.009025926519114,500.9025926519114
Spring-5,11656.689999999999,540,106118.01,21.586462962962962,9.103614319330788,810.3614319330788
Brand-1,17943.32,490,104214.46,36.619020408163266,5.807980908772736,480.7980908772737
Always-On-9,10001.58,690,100683.06,14.49504347826087,10.066715458957484,906.6715458957484
Spring-2,23798.480000000003,656,99904.01999999999,36.27817073170732,4.1979160013580685,319.79160013580685
Brand-9,13232.31,888,95432.87999999999,14.90125,7.212110357148525,621.2110357148525
Brand-4,20625.11,653,94222.43,31.585160796324658,4.568335877966226,356.8335877966226
Retargeting-3,26719.95,666,82356.24,40.120045045045046,3.0822003783689715,208.22003783689715
Launch-9,21069.21,557,80314.35,37.82622980251347,3.811929825560617,281.1929825560617
Launch-7,11914.82,524,72011.17,22.73820610687023,6.043831967247512,504.3831967247512
Spring-4,15847.33,635,67189.37,24.956425196850393,4.239791182489416,323.9791182489416
Launch-6,37766.15,926,64317.35,40.78417926565875,1.7030422746295293,70.30422746295292
Brand-7,11697.14,469,62394.43,24.940597014925373,5.334161171021293,433.4161171021293
Launch-8,9161.4,358,57306.86,25.59050279329609,6.255251380793329,525.5251380793329
Always-On-6,12553.62,436,54628.79,28.79270642201835,4.351636420411005,335.1636420411005
Always-On-5,13367.71,610,51997.44,21.91427868852459,3.8897791768373198,288.97791768373196
Launch-1,20710.88,553,50823.69,37.451862567811936,2.453960913297745,145.3960913297745
Launch-4,5987.93,316,49698.88,18.949145569620253,8.299843184539565,729.9843184539565
Always-On-2,16390.53,322,46195.99,50.90226708074534,2.818456145103301,181.84561451033005
Retargeting-4,9796.72,275,44767.52,35.62443636363636,4.569643717489119,356.96437174891184
Launch-3,10906.09,268,43474.54,40.69436567164179,3.98626272110353,298.626272110353
Always-On-1,17175.92,563,42955.5,30.507850799289518,2.5009140703962296,150.09140703962294
Brand-5,4519.93,373,39851.5,12.117774798927615,8.816840083806607,781.6840083806607
Brand-3,14971.55,370,39810.82,40.46364864864864,2.6590980893761835,165.90980893761835
Launch-5,7297.540000000001,321,37742.0,22.733769470404987,5.17187983895943,417.187983895943
Retargeting-2,11988.75,282,36423.78,42.513297872340424,3.0381632780731933,203.81632780731934
Retargeting-8,4988.07,328,33266.99,15.207530487804878,6.669310975988709,566.9310975988709
Retargeting-1,11560.98,463,33061.85,24.969719222462203,2.8597791882695067,185.97791882695066
Spring-9,14298.95,213,29699.42,67.131220657277,2.0770350270474403,107.70350270474403
Brand-2,16880.15,364,28164.68,46.37403846153847,1.6685088698856347,66.85088698856347
Spring-7,9424.900000000001,301,27814.86,31.31196013289037,2.9512100924147733,195.12100924147734
Retargeting-7,11922.57,460,26170.46,25.918630434782607,2.1950351308484666,119.50351308484663
Always-On-7,8940.15,325,22438.309999999998,27.508153846153846,2.5098359647209496,150.98359647209497
Retargeting-9,2655.16,244,17433.2,10.881803278688524,6.565781346510192,556.5781346510192
Brand-8,3338.16,138,16804.24,24.189565217391305,5.033982792915858,403.3982792915858
Spring-8,12304.220000000001,206,16281.460000000001,59.72922330097088,1.3232419446336297,32.32419446336297
Spring-6,3766.14,143,15607.6,26.336643356643357,4.144190072594221,314.41900725942213
Retargeting-6,1797.1000000000001,42,4457.4,42.78809523809524,2.4803294196204995,148.03294196204993
